x_times_g,y_times_g,z_times_g,g_measured,TimeInterval,Date,,,,X-accel,Y-accel,Z-accel
-0.434723,-0.926636,-0.10762,1.029184,44034.00402,2001-01-01 12:13:54.004 +0000,,,,-24.98592841,-64.20537516,-6.002291913
-0.358597,-0.882233,-0.142975,0.962999,44033.98443,2001-01-01 12:13:53.984 +0000,,,,-21.86216021,-66.36670746,-8.538175778
-0.312988,-0.875244,-0.103424,0.93526,44033.96487,2001-01-01 12:13:53.965 +0000,,,,-19.55148098,-69.36269517,-6.348937353
-0.382401,-0.916595,-0.014374,0.993269,44033.94528,2001-01-01 12:13:53.945 +0000,,,,-22.64326511,-67.33985647,-0.82917941
-0.567398,-0.901749,0.022858,1.065652,44033.92568,2001-01-01 12:13:53.926 +0000,,,,-32.1706071,-57.8001563,1.229076067
-0.616257,-0.842178,-0.083298,1.046888,44033.90609,2001-01-01 12:13:53.906 +0000,,,,-36.0616886,-53.55797823,-4.563690675
-0.529694,-0.80278,-0.225479,0.987862,44033.8865,2001-01-01 12:13:53.886 +0000,,,,-32.42547729,-54.35501865,-13.19402788
-0.529907,-0.801132,-0.153732,0.972753,44033.86691,2001-01-01 12:13:53.867 +0000,,,,-33.00758681,-55.44400926,-9.093041506
-0.630463,-0.843735,0.045761,1.054261,44033.84731,2001-01-01 12:13:53.847 +0000,,,,-36.7278015,-53.15965458,2.487748319
-0.745834,-0.819107,0.051834,1.109005,44033.82772,2001-01-01 12:13:53.828 +0000,,,,-42.2622901,-47.61199805,2.678935347
-0.668518,-0.664337,-0.298874,0.988729,44033.80813,2001-01-01 12:13:53.808 +0000,,,,-42.54262864,-42.21464367,-17.5946522
-0.551666,-0.626297,-0.566605,1.008774,44033.78854,2001-01-01 12:13:53.789 +0000,,,,-33.15240279,-38.37821877,-34.17185158
-0.568573,-0.665253,-0.591415,1.056224,44033.76895,2001-01-01 12:13:53.769 +0000,,,,-32.56848865,-39.03839387,-34.05119722
-0.580032,-0.700195,-0.451981,1.01538,44033.74935,2001-01-01 12:13:53.749 +0000,,,,-34.83716727,-43.59758203,-26.43195963
-0.504333,-0.653519,-0.341599,0.89338,44033.72976,2001-01-01 12:13:53.730 +0000,,,,-34.36910903,-47.01334243,-22.48036211
-0.311966,-0.528595,-0.481552,0.780146,44033.71017,2001-01-01 12:13:53.710 +0000,,,,-23.57077474,-42.65319399,-38.11623461
-0.262924,-0.506042,-0.76651,0.955377,44033.69058,2001-01-01 12:13:53.691 +0000,,,,-15.97419944,-31.98369098,-53.35141435
-0.485901,-0.451508,-0.884079,1.10524,44033.67098,2001-01-01 12:13:53.671 +0000,,,,-26.08053294,-24.11163947,-53.12035751
-0.766907,-0.403214,-0.969055,1.299921,44033.65139,2001-01-01 12:13:53.651 +0000,,,,-36.15446572,-18.07028282,-48.19965997
-0.909851,-0.359283,-1.039825,1.427638,44033.6318,2001-01-01 12:13:53.632 +0000,,,,-39.59169539,-14.57591866,-46.74854873
-0.771942,-0.254181,-1.022873,1.306435,44033.61221,2001-01-01 12:13:53.612 +0000,,,,-36.21925661,-11.21906903,-51.53147173
-0.381805,-0.23584,-0.981873,1.079569,44033.59261,2001-01-01 12:13:53.593 +0000,,,,-20.71159552,-12.61844881,-65.4369354
-0.203094,-0.302673,-1.093628,1.152771,44033.57302,2001-01-01 12:13:53.573 +0000,,,,-10.14727651,-15.22209649,-71.56720214
-0.172302,-0.302872,-1.017502,1.075514,44033.5534,2001-01-01 12:13:53.553 +0000,,,,-9.218759108,-16.35612864,-71.0957622
-0.046051,-0.251587,-0.884857,0.92108,44033.53381,2001-01-01 12:13:53.534 +0000,,,,-2.865796748,-15.85140622,-73.87812345
0.073227,-0.151794,-1.016907,1.030778,44033.51422,2001-01-01 12:13:53.514 +0000,,,,4.073752873,-8.468263919,-80.58980965
0.188477,0.061996,-1.334961,1.349625,44033.49462,2001-01-01 12:13:53.495 +0000,,,,8.027673328,2.632849347,-81.54618093
0.277527,0.157791,-1.375824,1.412378,44033.47503,2001-01-01 12:13:53.475 +0000,,,,11.33214663,6.414482082,-76.93620748
0.50264,0.196701,-1.132004,1.254102,44033.45544,2001-01-01 12:13:53.455 +0000,,,,23.62800086,9.023881018,-64.50744932
0.737518,0.236694,-1.044525,1.300381,44033.43585,2001-01-01 12:13:53.436 +0000,,,,34.55211187,10.48738541,-53.4411716
0.928955,0.281937,-1.024017,1.411048,44033.41625,2001-01-01 12:13:53.416 +0000,,,,41.17369752,11.5256616,-46.52825707
