x_times_g,y_times_g,z_times_g,g_measured,TimeInterval,Date,,,,X-axis,Y-axis,Z-axis
0.018082,-0.055008,-1.011581,1.013237,39659.20979,2001-01-01 11:00:59.210 +0000,,,,1.009347094,-3.076032304,-89.810098
0.013199,-0.054596,-0.96347,0.965106,39659.1902,2001-01-01 11:00:59.190 +0000,,,,0.812018449,-3.365315203,-89.81238394
0.025513,-0.052795,-1.01387,1.015564,39659.17061,2001-01-01 11:00:59.171 +0000,,,,1.417930434,-2.938292413,-89.80570144
0.017197,-0.036499,-1.058411,1.059179,39659.15102,2001-01-01 11:00:59.151 +0000,,,,0.878448805,-1.865635317,-89.91187649
-0.007019,-0.022614,-1.029846,1.030118,39659.13143,2001-01-01 11:00:59.131 +0000,,,,-0.37899861,-1.221432537,-89.96880909
0.004089,-0.031326,-0.994308,0.99481,39659.11183,2001-01-01 11:00:59.112 +0000,,,,0.236736134,-1.814818084,-89.94249083
0.047134,-0.053024,-1.013275,1.015756,39659.09224,2001-01-01 11:00:59.092 +0000,,,,2.621268487,-2.949971193,-89.7154032
-0.006607,-0.016846,-0.998001,0.998165,39659.07265,2001-01-01 11:00:59.073 +0000,,,,-0.379957397,-0.968940359,-89.98120302
0.010437,-0.025909,-1.025513,1.025893,39659.05306,2001-01-01 11:00:59.053 +0000,,,,0.568230612,-1.41110116,-89.95641108
-0.002426,-0.02124,-0.98912,0.989351,39659.03346,2001-01-01 11:00:59.033 +0000,,,,-0.142008508,-1.243679161,-89.97352801
0.009796,-0.02533,-1.007568,1.007934,39659.01387,2001-01-01 11:00:59.014 +0000,,,,0.552503244,-1.429150501,-89.95805928
0.018021,-0.032074,-1.005508,1.006181,39658.99428,2001-01-01 11:00:58.994 +0000,,,,1.020100366,-1.816434305,-89.92287667
0.031143,-0.029037,-1.017609,1.018499,39658.97469,2001-01-01 11:00:58.975 +0000,,,,1.721222709,-1.604694472,-89.89792001
0.008286,-0.019272,-1.014709,1.014926,39658.95509,2001-01-01 11:00:58.955 +0000,,,,0.460912562,-1.072227005,-89.97515301
-0.006989,-0.011826,-1.012619,1.012712,39658.9355,2001-01-01 11:00:58.936 +0000,,,,-0.390462728,-0.660736701,-89.98932453
