x_times_g,y_times_g,z_times_g,g_measured,TimeInterval,Date,,,,X-accel,Y-accel,Z-accel
-0.831924,0.051956,-0.055191,0.83537,43930.59305,2001-01-01 12:12:10.593 +0000,,,,-84.79399883,3.565823731,-3.788161513
-0.270187,-0.080582,0.022278,0.282827,43930.57346,2001-01-01 12:12:10.573 +0000,,,,-72.80619694,-16.55387607,4.517820724
0.216141,-0.26741,0.000778,0.34384,43930.55386,2001-01-01 12:12:10.554 +0000,,,,38.94764841,-51.05205311,0.12964231
0.51683,-0.360245,0.207047,0.663143,43930.53427,2001-01-01 12:12:10.534 +0000,,,,51.20244977,-32.90441093,18.1931242
0.709351,-0.430664,0.226257,0.860141,43930.51468,2001-01-01 12:12:10.515 +0000,,,,55.55723023,-30.04566099,15.2509024
0.783356,-0.362274,0.252014,0.899111,43930.49509,2001-01-01 12:12:10.495 +0000,,,,60.60497347,-23.76114888,16.27766319
0.882996,-0.348373,0.230911,0.976916,43930.47546,2001-01-01 12:12:10.475 +0000,,,,64.67023235,-20.89182737,13.67222941
1.051086,-0.321793,0.130249,1.106932,43930.45587,2001-01-01 12:12:10.456 +0000,,,,71.72260617,-16.90030262,6.757461668
1.15657,-0.305939,0.105927,1.20103,43930.43628,2001-01-01 12:12:10.436 +0000,,,,74.36150636,-14.75761662,5.059878202
1.170853,-0.202148,0.147491,1.197294,43930.41669,2001-01-01 12:12:10.417 +0000,,,,77.93623765,-9.720225572,7.076063707
1.154633,-0.038116,0.102249,1.159778,43930.3971,2001-01-01 12:12:10.397 +0000,,,,84.6011131,-1.8833598,5.057909431
1.157394,0.02179,-0.020782,1.157786,43930.3775,2001-01-01 12:12:10.378 +0000,,,,88.50969977,1.078393736,-1.02850202
1.191132,0.108597,-0.13266,1.203406,43930.35791,2001-01-01 12:12:10.358 +0000,,,,81.80960717,5.17749032,-6.328981099
1.239166,0.153168,-0.249466,1.273274,43930.33832,2001-01-01 12:12:10.338 +0000,,,,76.70838877,6.909107056,-11.29875726
1.287796,0.174667,-0.274139,1.328187,43930.3187,2001-01-01 12:12:10.319 +0000,,,,75.83377057,7.556736342,-11.91152411
1.312164,0.216782,-0.228973,1.349518,43930.2991,2001-01-01 12:12:10.299 +0000,,,,76.48796572,9.243853146,-9.768648779
1.385086,0.255798,-0.204147,1.423226,43930.27951,2001-01-01 12:12:10.280 +0000,,,,76.7057186,10.3540998,-8.246932575
1.499115,0.268585,-0.253082,1.54387,43930.25992,2001-01-01 12:12:10.260 +0000,,,,76.17047812,10.01864728,-9.434909189
1.585052,0.277084,-0.377991,1.65289,43930.24033,2001-01-01 12:12:10.240 +0000,,,,73.52800451,9.650409192,-13.21966628
1.568375,0.268036,-0.398834,1.640339,43930.22073,2001-01-01 12:12:10.221 +0000,,,,72.96551162,9.404463167,-14.07201159
1.48555,0.246506,-0.284653,1.532531,43930.20114,2001-01-01 12:12:10.201 +0000,,,,75.77638609,9.256175663,-10.7043054
1.48114,0.193054,-0.127289,1.499083,43930.18155,2001-01-01 12:12:10.182 +0000,,,,81.12641372,7.399182592,-4.870923026
1.556046,0.101334,-0.05098,1.560175,43930.16196,2001-01-01 12:12:10.162 +0000,,,,85.83053584,3.724005165,-1.872519766
1.607559,0.021469,-0.034302,1.608068,43930.14237,2001-01-01 12:12:10.142 +0000,,,,88.55801683,0.76496732,-1.222279554
1.567642,-0.031097,-0.006836,1.567966,43930.12277,2001-01-01 12:12:10.123 +0000,,,,88.83645864,-1.136405063,-0.249798382
1.424957,-0.062592,-0.002106,1.426333,43930.10318,2001-01-01 12:12:10.103 +0000,,,,87.483449,-2.515128348,-0.084598051
1.233673,-0.104156,-0.029816,1.238421,43930.08359,2001-01-01 12:12:10.084 +0000,,,,84.98123463,-4.824496075,-1.379576163
1.045654,-0.136368,-0.05809,1.056108,43930.064,2001-01-01 12:12:10.064 +0000,,,,81.93187889,-7.418929853,-3.153081068
0.881134,-0.195267,0.025833,0.902881,43930.04437,2001-01-01 12:12:10.044 +0000,,,,77.39928279,-12.49010983,1.639556384
0.787872,-0.249039,-0.023926,0.826641,43930.02478,2001-01-01 12:12:10.025 +0000,,,,72.38295824,-17.53367308,-1.658580323
0.747955,-0.245148,-0.116119,0.795624,43930.00519,2001-01-01 12:12:10.005 +0000,,,,70.06597162,-17.9459906,-8.392124527
0.676926,-0.246475,-0.167175,0.739544,43929.9856,2001-01-01 12:12:09.986 +0000,,,,66.25237466,-19.46794499,-13.06470485
0.567581,-0.304977,-0.125183,0.656377,43929.966,2001-01-01 12:12:09.966 +0000,,,,59.85061392,-27.68675699,-10.99470772
0.363602,-0.294907,-0.08699,0.476176,43929.94641,2001-01-01 12:12:09.946 +0000,,,,49.78145168,-38.26672939,-10.52616144
0.187424,-0.276611,-0.036728,0.33614,43929.92682,2001-01-01 12:12:09.927 +0000,,,,33.88836845,-55.37648572,-6.27288319
0.132446,-0.300583,-0.118332,0.349134,43929.90723,2001-01-01 12:12:09.907 +0000,,,,22.2937846,-59.42215598,-19.81170039
-0.003235,-0.36264,-0.173798,0.402149,43929.88764,2001-01-01 12:12:09.888 +0000,,,,-0.460908162,-64.38970551,-25.60553967
-0.353821,-0.368958,-0.173889,0.539959,43929.86807,2001-01-01 12:12:09.868 +0000,,,,-40.94033433,-43.10255324,-18.786376
-0.664795,-0.345566,-0.140869,0.762373,43929.84847,2001-01-01 12:12:09.848 +0000,,,,-60.69279684,-26.9541228,-10.64813424
-0.798965,-0.336411,-0.103165,0.873018,43929.82888,2001-01-01 12:12:09.829 +0000,,,,-66.23071336,-22.66500914,-6.786530443
-0.82991,-0.357025,-0.180878,0.921377,43929.80929,2001-01-01 12:12:09.809 +0000,,,,-64.25400597,-22.79847035,-11.32142641
-0.92897,-0.414383,-0.266281,1.051477,43929.7897,2001-01-01 12:12:09.790 +0000,,,,-62.06632749,-23.20961089,-14.66960027
-1.15686,-0.404266,-0.340439,1.271871,43929.7701,2001-01-01 12:12:09.770 +0000,,,,-65.44650433,-18.53304403,-15.52554399
-1.339737,-0.32077,-0.333069,1.417294,43929.75051,2001-01-01 12:12:09.751 +0000,,,,-70.95767481,-13.08083991,-13.59182274
-1.41629,-0.325058,-0.248871,1.474272,43929.73092,2001-01-01 12:12:09.731 +0000,,,,-73.87767039,-12.73764946,-9.718606013
-1.30072,-0.342087,-0.398529,1.402755,43929.71133,2001-01-01 12:12:09.711 +0000,,,,-68.01180999,-14.11494449,-16.50532846
-1.230408,-0.358734,-0.491379,1.372606,43929.69174,2001-01-01 12:12:09.692 +0000,,,,-63.6892009,-15.15032961,-20.97679657
-1.22493,-0.376312,-0.449631,1.358025,43929.67214,2001-01-01 12:12:09.672 +0000,,,,-64.4213703,-16.08734198,-19.33505767
-1.288727,-0.368362,-0.423996,1.405802,43929.65255,2001-01-01 12:12:09.653 +0000,,,,-66.45116399,-15.19053232,-17.55398453
-1.348129,-0.385406,-0.513092,1.493069,43929.63296,2001-01-01 12:12:09.633 +0000,,,,-64.54527682,-14.95914308,-20.09937104
-1.317734,-0.393219,-0.585052,1.494433,43929.61337,2001-01-01 12:12:09.613 +0000,,,,-61.85563239,-15.25542386,-23.0470952
-1.16362,-0.419907,-0.560623,1.358172,43929.59377,2001-01-01 12:12:09.594 +0000,,,,-58.95410223,-18.00925916,-24.37943801
-1.04071,-0.527573,-0.448532,1.250037,43929.57418,2001-01-01 12:12:09.574 +0000,,,,-56.36092334,-24.96383044,-21.02744487
-1.063004,-0.540375,-0.405518,1.259534,43929.55456,2001-01-01 12:12:09.555 +0000,,,,-57.56128651,-25.40585936,-18.78141411
-1.111145,-0.514618,-0.534805,1.336223,43929.53497,2001-01-01 12:12:09.535 +0000,,,,-56.25898371,-22.65174293,-23.59295868
-1.118408,-0.50618,-0.650543,1.389338,43929.51537,2001-01-01 12:12:09.515 +0000,,,,-53.609609,-21.36646162,-27.92007695
-1.100235,-0.472168,-0.517685,1.304399,43929.49578,2001-01-01 12:12:09.496 +0000,,,,-57.50947071,-21.22191813,-23.38303866
-1.087173,-0.336105,-0.415649,1.211477,43929.47619,2001-01-01 12:12:09.476 +0000,,,,-63.81772341,-16.10712614,-20.0654203
-1.373398,-0.184555,-0.291489,1.416068,43929.4566,2001-01-01 12:12:09.457 +0000,,,,-75.89889176,-7.488615911,-11.87890686
-1.928604,-0.020187,-0.237549,1.943284,43929.437,2001-01-01 12:12:09.437 +0000,,,,-82.95310808,-0.595204341,-7.02145762
-1.9207,0.253998,-0.790283,2.092403,43929.41741,2001-01-01 12:12:09.417 +0000,,,,-66.62672514,6.972363127,-22.19076643
-1.383255,0.46814,-1.368408,2.001272,43929.39782,2001-01-01 12:12:09.398 +0000,,,,-43.72421427,13.52804101,-43.13888115
-0.88707,0.231232,-0.853653,1.252631,43929.37823,2001-01-01 12:12:09.378 +0000,,,,-45.08583955,10.63763969,-42.96002381
-0.966263,0.176804,-0.362717,1.047133,43929.35864,2001-01-01 12:12:09.359 +0000,,,,-67.33447308,9.720718138,-20.26670556
-0.940598,0.077164,0.068832,0.946264,43929.33904,2001-01-01 12:12:09.339 +0000,,,,-83.72649695,4.677429743,4.171422351
-0.421432,-0.012375,-0.064514,0.426521,43929.31945,2001-01-01 12:12:09.319 +0000,,,,-81.140391,-1.662602473,-8.699740596
-0.115707,-0.240509,0.124313,0.294426,43929.29986,2001-01-01 12:12:09.300 +0000,,,,-23.14082263,-54.77322315,24.97496266
0.089478,-0.193527,0.430359,0.480279,43929.28024,2001-01-01 12:12:09.280 +0000,,,,10.73718127,-23.76254416,63.64497355
0.275848,-0.290771,0.352188,0.533551,43929.26064,2001-01-01 12:12:09.261 +0000,,,,31.13152346,-33.02285875,41.30624613
0.572601,-0.33049,0.195984,0.689569,43929.24105,2001-01-01 12:12:09.241 +0000,,,,56.1373128,-28.63776537,16.51177311
0.803009,-0.366623,0.153931,0.896064,43929.22146,2001-01-01 12:12:09.221 +0000,,,,63.65671294,-24.15134059,9.891661431
0.951569,-0.371521,0.189407,1.038935,43929.20187,2001-01-01 12:12:09.202 +0000,,,,66.334994,-20.9527448,10.50426799
1.052643,-0.31749,0.186401,1.115169,43929.18227,2001-01-01 12:12:09.182 +0000,,,,70.7225813,-16.54098729,9.622179065
1.135101,-0.252274,0.171631,1.175395,43929.16268,2001-01-01 12:12:09.163 +0000,,,,74.95421114,-12.39376887,8.396340212
1.272934,-0.185104,0.096542,1.28994,43929.14309,2001-01-01 12:12:09.143 +0000,,,,80.68612742,-8.250320988,4.292158461
1.334015,-0.098083,0.013977,1.337689,43929.12347,2001-01-01 12:12:09.123 +0000,,,,85.75258868,-4.204856349,0.598672593
1.275146,0.030792,-0.036407,1.276038,43929.10388,2001-01-01 12:12:09.104 +0000,,,,87.85849664,1.382736285,-1.634944962
1.263779,0.146469,-0.030807,1.272611,43929.08428,2001-01-01 12:12:09.084 +0000,,,,83.24572381,6.609004881,-1.387134868
1.312515,0.188644,-0.071777,1.327944,43929.06469,2001-01-01 12:12:09.065 +0000,,,,81.25757424,8.166907609,-3.098418073
1.388229,0.163925,-0.171677,1.408377,43929.0451,2001-01-01 12:12:09.045 +0000,,,,80.29697695,6.683971349,-7.001602323
1.426788,0.183273,-0.22673,1.456269,43929.02551,2001-01-01 12:12:09.026 +0000,,,,78.45155572,7.229906157,-8.956954734
1.473129,0.190628,-0.217453,1.501244,43929.00591,2001-01-01 12:12:09.006 +0000,,,,78.89388994,7.295113679,-8.328508016
1.573929,0.220779,-0.173035,1.59873,43928.98632,2001-01-01 12:12:08.986 +0000,,,,79.89477664,7.937714345,-6.213454245
1.674881,0.248337,-0.139511,1.698929,43928.96673,2001-01-01 12:12:08.967 +0000,,,,80.34824687,8.405190594,-4.710262081
1.72345,0.266922,-0.131393,1.74894,43928.94714,2001-01-01 12:12:08.947 +0000,,,,80.20590016,8.778749299,-4.308531986
1.700134,0.23851,-0.06366,1.717963,43928.92754,2001-01-01 12:12:08.928 +0000,,,,81.73838967,7.980326425,-2.1236113
1.609161,0.188492,0.06517,1.621474,43928.90795,2001-01-01 12:12:08.908 +0000,,,,82.93476713,6.675576764,2.303443522
1.49884,0.125,0.150787,1.511583,43928.88836,2001-01-01 12:12:08.888 +0000,,,,82.55503949,4.743478003,5.725026039
1.484848,0.062271,0.014008,1.486219,43928.86882,2001-01-01 12:12:08.869 +0000,,,,87.53862177,2.401335081,0.540035535
1.38501,-0.015457,0.012024,1.385148,43928.84919,2001-01-01 12:12:08.849 +0000,,,,89.18993464,-0.639382203,0.497371327
1.224289,-0.125351,0.150253,1.239828,43928.8296,2001-01-01 12:12:08.830 +0000,,,,80.91934848,-5.802722897,6.960706674
1.110321,-0.18689,0.190552,1.14195,43928.81001,2001-01-01 12:12:08.810 +0000,,,,76.48341991,-9.419318856,9.605616375
1.039551,-0.197723,0.145203,1.068103,43928.79042,2001-01-01 12:12:08.790 +0000,,,,76.72228157,-10.66789552,7.813252203
